LANGUAGE_CODE,STOPWORD
EN,i
EN,me
EN,myself
EN,we
EN,our
EN,ours
EN,ourselves
EN,you
EN,your
EN,yours
EN,yourself
EN,yourselves
EN,he
EN,him
EN,his
EN,himself
EN,she
EN,her
EN,hers
EN,herself
EN,it
EN,its
EN,itself
EN,they
EN,them
EN,their
EN,theirs
EN,themselves
EN,who
EN,what
EN,which
EN,whom
EN,this
EN,that
EN,these
EN,those
EN,am
EN,is
EN,are
EN,were
EN,was
EN,would
EN,be
EN,been
EN,being
EN,have
EN,has
EN,had
EN,having
EN,do
EN,does
EN,did
EN,doing
EN,a
EN,an
EN,the
EN,and
EN,but
EN,if
EN,or
EN,because
EN,as
EN,until
EN,while
EN,of
EN,at
EN,by
EN,for
EN,with
EN,about
EN,against
EN,between
EN,into
EN,through
EN,during
EN,before
EN,after
EN,above
EN,below
EN,to
EN,from
EN,up
EN,down
EN,in
EN,out
EN,on
EN,off
EN,over
EN,under
EN,again
EN,further
EN,then
EN,once
EN,here
EN,there
EN,when
EN,where
EN,how
EN,why
EN,all
EN,any
EN,both
EN,each
EN,few
EN,more
EN,most
EN,other
EN,such
EN,some
EN,no
EN,not
EN,nor
EN,only
EN,own
EN,same
EN,so
EN,than
EN,too
EN,very
EN,s
EN,t
EN,can
EN,will
EN,just
EN,don
EN,cannot
EN,should
EN,now
